feature,value,1,2,3,4,5,6,7
attn_0_2_outputs,13,0.4830897,1.7310958,0.7242495,-2.2295346,-5.05723,-4.301397,-1.6241721
attn_0_2_outputs,2,1.8722848,3.450643,0.76761925,-3.6671228,-8.553623,-10.153934,-6.056221
attn_0_2_outputs,3,1.1830134,2.6612117,0.9273948,-2.6090217,-6.520228,-4.169915,-1.5224637
attn_0_2_outputs,4,0.56341004,1.7483116,0.70349914,-2.2467859,-5.4941926,-6.0556264,-1.9789838
attn_0_2_outputs,5,1.315692,2.1343668,0.8751837,-2.2851915,-4.872873,-3.2379405,-1.0930827
attn_0_2_outputs,6,1.1084372,2.5416994,0.71256983,-2.7813232,-6.1764207,-4.9072614,-1.8818989
attn_0_2_outputs,7,2.1556711,3.550145,0.7173808,-3.6612215,-8.373004,-3.4094574,-7.1785126
attn_0_2_outputs,8,2.1946297,3.5518084,0.7795486,-3.7546692,-7.5552406,-13.914718,-7.275904
attn_0_2_outputs,9,1.2476181,2.5871627,0.45026267,-3.3080933,-6.8509326,-9.41646,-4.3559175
attn_0_2_outputs,<pad>,0.9629256,2.893187,0.6850472,-3.2596483,-7.535861,-5.850024,-1.637611
attn_0_2_outputs,<s>,2.2326808,3.5023892,0.68067425,-3.9043636,-8.013468,-7.859313,-4.2890687
attn_0_3_outputs,0,1.7004932,2.721131,0.4463617,-3.384166,-7.0097733,-6.15209,-2.0568988
attn_0_3_outputs,1,1.8102669,2.5982974,0.35686165,-3.4889112,-7.1600933,-4.1067843,-4.4767222
attn_0_3_outputs,10,1.6814941,2.9741669,0.74773246,-3.2340581,-8.888583,0.15025735,-2.3023264
attn_0_3_outputs,11,1.8392713,3.2582057,1.1046184,-2.6859996,-5.8353105,-10.032411,-3.5590222
attn_0_3_outputs,12,1.7799236,2.8904607,0.7775032,-3.0803516,-6.6545005,-8.78314,-2.2612336
attn_0_3_outputs,13,1.5850228,2.9900086,0.9262923,-2.8498693,-6.2585144,-7.781086,-1.9725363
attn_0_3_outputs,14,1.7399434,3.068853,1.0183461,-2.6151893,-6.083539,-6.498697,-5.5151253
attn_0_3_outputs,15,0.8946567,2.9558969,1.142142,-2.3433316,-5.4164667,-9.77054,-1.0559627
attn_0_3_outputs,2,1.7511855,2.6516528,0.5022365,-3.2547803,-8.107672,-8.52393,-4.039816
attn_0_3_outputs,3,2.106196,2.9863489,0.65635335,-3.2578292,-7.0348597,-5.3988485,-6.012196
attn_0_3_outputs,4,2.1311939,3.063531,0.80556023,-3.2128842,-6.4116626,-4.3183255,-2.541008
attn_0_3_outputs,5,1.6081582,2.5759103,0.41994172,-3.4901285,-7.0925465,-16.16904,2.7192373
attn_0_3_outputs,6,1.6332396,2.867373,0.6956397,-3.1526806,-7.15637,-8.50066,-5.4840937
attn_0_3_outputs,7,1.610709,2.604208,0.35149634,-3.4938996,-8.23438,-2.3250773,-4.713707
attn_0_3_outputs,8,1.6779361,2.807164,0.62379783,-3.0625591,-7.3554697,-4.623688,-2.2110145
attn_0_3_outputs,9,1.5839024,2.8615322,0.69648343,-3.0390394,-6.4749627,-12.89653,-3.466531
mlp_0_0_outputs,0,-0.11475244,0.4581854,-0.032404292,-0.729821,-0.8605193,0.09044131,-0.7567382
mlp_0_0_outputs,1,0.16794428,-0.2787661,0.41279978,-0.55153203,-0.66388994,-0.3232691,-0.706293
mlp_0_0_outputs,10,0.5028422,0.6283594,0.15248993,0.10651921,-0.40380454,-0.019749384,-0.5767101
mlp_0_0_outputs,11,0.36435768,0.1166474,-0.08467352,0.056754336,-0.18485533,-0.81565154,-0.5746205
mlp_0_0_outputs,12,0.077976964,0.55598867,0.57739383,-0.4919977,-0.38498524,-0.12951982,-0.37080413
mlp_0_0_outputs,13,2.0999043,2.9769766,0.07724769,-5.347725,-10.932976,-15.472383,-15.681404
mlp_0_0_outputs,14,-0.18780191,-0.053106043,0.24679606,-0.5380616,-0.27818257,-0.96246684,-0.48264962
mlp_0_0_outputs,15,0.22789894,0.43334886,0.571648,-0.48093224,-0.88030183,-0.5682938,0.19248047
mlp_0_0_outputs,2,0.51151186,0.32673946,-0.19900341,0.24992155,-0.6207632,-1.1211337,-0.73344016
mlp_0_0_outputs,3,0.75302935,0.042277656,-0.4055716,0.190579,0.046943646,-0.51816595,-0.9417834
mlp_0_0_outputs,4,0.4716643,0.513694,0.10302083,-0.7326094,-0.9740395,-0.38532397,0.2735082
mlp_0_0_outputs,5,-0.40200493,0.6623035,0.549355,-0.35878202,-0.13910717,-0.3060296,-0.19427235
mlp_0_0_outputs,6,0.80129784,0.7060915,0.32552803,-0.55570394,-0.39833662,-0.43274578,-0.54650813
mlp_0_0_outputs,7,-0.48171547,0.34944096,0.23975454,-0.58113146,-0.61567956,-0.015056838,-0.18022564
mlp_0_0_outputs,8,0.80510783,-0.62779933,-0.20706083,-0.670637,0.1250239,-0.34892488,-0.3289412
mlp_0_0_outputs,9,0.12333623,0.4309924,0.5203001,-0.39541906,-0.33480427,-0.6280081,-0.17365201
mlp_0_1_outputs,0,2.1514854,3.746932,1.5891162,-7.367699,-13.359785,-17.056534,-15.37797
mlp_0_1_outputs,1,0.5667831,-0.13702714,-0.2650652,0.045162257,-0.34158656,-0.46147752,0.049411055
mlp_0_1_outputs,10,0.25856566,-0.048773933,-0.53378564,-0.74622947,-0.5139362,-0.6845651,-0.51398575
mlp_0_1_outputs,11,0.8673575,0.18346661,-0.4543362,-0.95185006,-1.1928949,-0.19248612,-0.3100185
mlp_0_1_outputs,12,0.7041851,-0.0073760212,-0.4690594,-0.04318868,-1.2926599,-0.39734614,-0.22282837
mlp_0_1_outputs,13,0.42084303,0.55754507,-0.3463406,0.16770542,0.08008036,-0.85590374,-0.66273564
mlp_0_1_outputs,14,0.21634217,0.19284882,0.06134205,-0.38911483,-0.64327717,-0.47498748,0.2114139
mlp_0_1_outputs,15,0.81345606,0.44351438,0.13182081,-1.0190153,-0.050518434,-0.15631585,-0.14424299
mlp_0_1_outputs,2,0.26822242,0.5014447,-0.41198388,-0.04355225,-0.28537187,-0.23617838,-0.8074459
mlp_0_1_outputs,3,0.6828766,0.18750629,-0.7058361,-0.47737518,-0.08919031,-0.4574402,-0.1768996
mlp_0_1_outputs,4,0.6943831,0.32162547,-0.5707979,-1.1919469,-1.1031905,0.1518332,-0.40473017
mlp_0_1_outputs,5,0.59959996,0.5082708,-0.1577118,0.3670735,-0.36653975,-0.17080322,-0.45207775
mlp_0_1_outputs,6,0.7721423,0.60763866,0.0074787484,-0.12960799,-0.2976334,-1.246911,-0.79089147
mlp_0_1_outputs,7,0.7304418,0.38531622,-0.187048,-0.52356666,-0.17644972,-0.19241704,-0.8410338
mlp_0_1_outputs,8,-0.22375996,0.12815833,0.30579737,-0.8816654,-0.21201514,0.034970284,-0.41696283
mlp_0_1_outputs,9,1.2938513,0.80428684,-0.13341269,-0.91206497,-0.89191604,0.09095504,-0.14218207
num_attn_0_0_outputs,_,-3.0860827,-4.4999714,1.2984239,4.846298,8.263893,8.29751,6.6088476
num_attn_0_1_outputs,_,-2.4206364,-6.0954266,0.9037536,6.6702347,10.105823,10.525625,7.713536
num_attn_0_2_outputs,_,-3.7758746,-4.701431,0.34744653,5.4155827,9.842586,10.782744,7.9969816
num_attn_0_3_outputs,_,1.7752111,2.5619168,0.17477773,-4.090425,-10.178427,-11.504437,-4.804449
num_mlp_0_0_outputs,0,8.579215,-6.5257583,-7.0541143,-1.3089561,1.2161553,-0.61853987,-0.048247945
num_mlp_0_0_outputs,1,-2.178592,-0.110425256,4.229183,0.1319558,-3.181764,-4.78297,-0.7589904
num_mlp_0_0_outputs,10,2.2946112,-1.2520581,-1.1785417,-0.7023181,-0.9262176,0.08261779,-0.49591872
num_mlp_0_0_outputs,11,0.2772918,0.3644298,-0.49973014,-0.78563285,-0.09716554,-0.8762332,-0.27651381
num_mlp_0_0_outputs,12,0.044700935,0.32373145,-0.62794423,0.008390955,-0.5014622,0.3112461,-0.43790993
num_mlp_0_0_outputs,13,-2.4657326,12.554989,-6.124092,-9.574277,-14.28339,-16.716146,-15.390057
num_mlp_0_0_outputs,14,0.37381762,0.52387875,0.17301308,-0.020853909,-0.09094969,-0.5040205,-0.8045443
num_mlp_0_0_outputs,15,3.0937939,-1.3924223,-3.2789617,-1.337786,-1.4738995,-0.6110933,-0.41442227
num_mlp_0_0_outputs,2,0.57317364,-0.387672,-0.8390402,-0.6495994,-0.059738457,-0.07849642,-0.8544172
num_mlp_0_0_outputs,3,1.7926549,0.5336662,-1.2444723,-1.0571691,-0.92758983,-0.43818378,-0.22507945
num_mlp_0_0_outputs,4,-0.04179399,0.14653142,0.16895857,-0.3137605,0.042773273,-1.0099912,-0.36923754
num_mlp_0_0_outputs,5,0.18567704,-0.621063,-0.07583658,-1.1915404,-0.15464897,-0.47143713,-0.0001627297
num_mlp_0_0_outputs,6,0.81835467,0.4020987,0.16923882,-0.1118577,-0.44394976,-0.18799053,-0.67168564
num_mlp_0_0_outputs,7,1.7091705,-0.24752632,0.12440788,-0.45445907,-0.6927091,-0.06020776,-0.3742297
num_mlp_0_0_outputs,8,3.425185,-2.3012514,-2.9233415,-0.79396415,-0.6546299,-0.6468981,-0.40914708
num_mlp_0_0_outputs,9,0.98566306,-0.60852253,-1.5907289,-0.37579024,-1.1155558,-0.226517,0.13593566
num_mlp_0_1_outputs,0,0.22424984,0.46036902,-0.22173214,-0.031914767,-0.2665958,-0.9992803,-0.65523875
num_mlp_0_1_outputs,1,0.80488604,0.3397002,-0.7835826,-0.6139061,-0.40769017,-0.01818587,-0.35675344
num_mlp_0_1_outputs,10,2.1588633,-0.6951294,-0.47421014,-1.9543835,-1.1106267,-0.6163801,-0.18963079
num_mlp_0_1_outputs,11,1.5768652,-0.9511098,-1.0747957,-0.36370164,-1.2812071,-0.45019382,-0.8506403
num_mlp_0_1_outputs,12,1.2304313,-0.4202466,-1.3202447,-0.5620868,-0.7887301,-0.2505042,-0.14795512
num_mlp_0_1_outputs,13,0.8751714,-0.31130606,-3.24575,-1.254027,-0.4988162,-1.2371817,-0.283401
num_mlp_0_1_outputs,14,1.3511397,-0.08259437,0.23571712,-0.62797827,-0.37159064,-0.14448828,-0.5059507
num_mlp_0_1_outputs,15,1.4770031,-0.7316787,-0.9596045,-0.06765709,-1.2892734,-0.7086961,-1.0284796
num_mlp_0_1_outputs,2,0.9508587,0.13057263,-0.020207083,-0.5657804,0.008953638,-0.3139143,-0.8545837
num_mlp_0_1_outputs,3,1.1841655,0.6370842,-0.61842847,-0.20641103,-0.5678011,-0.09973625,-0.23648807
num_mlp_0_1_outputs,4,2.7005768,1.8540848,-1.5028441,-4.4280033,-9.149737,-12.426286,-15.775911
num_mlp_0_1_outputs,5,1.5103678,-0.45624292,0.19495349,-1.3399655,-0.24780291,-0.6369508,-0.09528998
num_mlp_0_1_outputs,6,2.104308,0.47753868,-0.57078636,-0.94223094,-1.916192,-0.118262716,-0.25269145
num_mlp_0_1_outputs,7,0.73427063,0.22902493,0.47526544,-1.0472773,-2.2793903,-2.2164156,-0.6777764
num_mlp_0_1_outputs,8,0.8699824,0.35253122,0.25365102,-0.28933415,0.23472346,-0.13137956,-0.66148084
num_mlp_0_1_outputs,9,-1.4986895,1.4156528,2.1920278,-1.0740525,-2.4376,-4.786891,-0.64720744
ones,_,2.052331,2.802059,0.5248993,-3.404252,-9.351964,-8.873891,-2.8997643
positions,0,0.4546987,-0.4556686,0.20920563,0.058540314,-0.33979404,-0.39910758,0.19771285
positions,1,2.0459604,2.7724876,0.44724822,-3.1334245,-7.2103105,-6.5903654,-2.3786666
positions,10,1.7476373,2.857351,0.6935986,-2.8813074,-6.9335923,-5.7708435,-1.9208184
positions,11,1.3836387,2.6776023,0.5389632,-2.8542905,-6.643764,-6.5997467,-5.0947576
positions,12,1.3725916,2.7228906,0.6437636,-2.7694178,-6.9731407,-6.603596,-3.0810895
positions,13,1.9329082,3.3675578,1.2996807,-2.1137624,-6.105351,-5.655898,-4.712962
positions,14,1.4030837,3.131717,1.1799966,-1.8290831,-6.115627,-5.9190435,-2.282901
positions,15,2.079303,3.1218607,1.1947365,-2.126192,-6.0296803,-8.297255,-4.9074736
positions,2,2.117345,2.7427604,0.41833258,-3.2187197,-7.2863393,-6.3157806,-2.5372467
positions,3,1.9868486,2.6073904,0.2524425,-3.390144,-7.6534557,-6.475516,-4.074284
positions,4,1.7360593,2.5347548,0.20674942,-3.312272,-7.4530373,-6.4605694,-2.028743
positions,5,1.7889973,2.5878055,0.30380523,-3.252976,-7.5061617,-6.7823396,-3.134289
positions,6,1.7575352,2.66459,0.39298442,-3.1876483,-7.2548447,-7.193735,-4.102101
positions,7,1.8687245,2.792064,0.5771291,-2.867232,-7.1309056,-6.951966,-2.3060927
positions,8,1.4590108,2.4223537,0.22790366,-3.3412905,-7.510109,-5.896938,-4.0880218
positions,9,1.9984107,2.944991,0.7680437,-2.7412496,-6.861182,-6.5850773,-4.063197
tokens,0,1.4355992,1.8174882,-0.1485617,-2.9334066,-4.7066603,-8.071264,-5.1227303
tokens,1,1.6815395,2.1054318,0.17294021,-2.7987251,-3.982276,-3.6437995,-3.4479418
tokens,10,1.519465,2.101683,0.10803636,-2.7366588,-4.6152196,-3.171846,-2.2294817
tokens,11,0.9708978,2.126182,0.16574313,-2.690158,-4.3123136,-7.807459,-1.8982408
tokens,12,1.8085632,2.2073138,0.28785908,-2.7052782,-4.1166096,-6.3767543,-0.7318989
tokens,13,1.8462867,2.3337674,0.48942983,-2.3483343,-3.7351665,-4.1340456,-2.261096
tokens,2,1.6936781,2.1635387,0.24939033,-2.7406118,-4.824738,-6.2284174,-3.0342472
tokens,3,0.09683223,2.4174948,0.69531333,-2.1984208,-3.862836,-0.95604396,-0.10584502
tokens,4,2.0531845,2.4822912,0.6055189,-2.3224914,-3.7533822,-9.49825,-2.7334454
tokens,5,1.7411524,2.0906372,0.11551226,-2.6877964,-5.1667566,-0.7467469,-3.0999477
tokens,6,1.7734672,2.3524492,0.42137432,-2.5616841,-3.9147072,-9.339524,-2.657341
tokens,7,1.8405805,2.2700903,0.27859566,-2.7193713,-5.0895286,-3.2156267,-3.4614317
tokens,8,1.6863518,2.1929998,0.29944438,-2.8016975,-4.1088977,-4.1246166,-5.143389
tokens,9,1.245613,2.3112586,0.42514485,-2.4466197,-3.8644502,-11.970135,-5.364576
tokens,<pad>,0.23530719,0.099134386,0.3790362,-1.4510417,-0.838999,-0.9733336,0.05083784
tokens,<s>,0.07802421,0.74410456,0.93076676,-0.47226363,-1.308061,-0.53127956,-1.1509718
