feature,value,0,1,2,3,4,5,<s>
attn_0_4_outputs,2,-0.19790414,0.098595805,0.64545745,-0.36503887,-0.32942444,-0.36806878,-0.36297756
attn_0_4_outputs,3,-0.30153862,-0.054452296,-0.1365516,1.1475147,-0.46108192,-0.51110196,-1.7475324
attn_0_4_outputs,4,0.2511665,-0.02031892,-0.21221155,-0.20919997,1.0295278,-0.18776186,0.060916178
attn_0_4_outputs,5,0.0032728526,0.17814447,-0.04315016,-0.20075631,-0.28515992,1.0074892,-0.06342802
attn_0_4_outputs,<pad>,0.16281347,-0.076838166,0.16540146,0.31067938,-0.4884716,-0.532545,0.31184363
attn_0_4_outputs,<s>,-1.2110673,-0.11961159,-0.7336035,-0.4018763,-0.24192166,-1.0864269,3.6763773
attn_0_5_outputs,0,0.011650693,0.2007182,-0.0240503,-0.28017864,0.1359416,-0.4670324,0.8525565
attn_0_5_outputs,1,0.50422,-0.4609941,0.30278626,-0.4277565,-0.51914203,0.33789504,-0.14842276
attn_0_5_outputs,2,0.25252232,0.10000532,0.90790874,0.23935762,-0.13559285,0.2604159,-1.9985124
attn_0_5_outputs,3,-0.07265704,-0.28922325,-0.11786063,-0.17988703,-0.10595087,-0.023898477,-0.013652586
attn_0_5_outputs,4,0.13642149,-0.3013011,-0.524243,0.30242714,1.2595506,0.3737994,-2.374979
attn_0_5_outputs,5,0.13841039,0.0484225,0.2951174,0.031652495,-0.5554005,0.29712927,0.9465988
attn_0_5_outputs,<pad>,0.14473523,-0.24679461,0.1249957,-0.084274806,-0.69218683,0.8115573,-0.32009757
attn_0_5_outputs,<s>,0.21214873,0.24667597,0.12775023,0.1376994,-0.31201375,0.7954285,2.6314645
attn_0_6_outputs,0,1.0374413,-0.08649954,0.08839679,0.21136943,0.17456691,-0.21326049,-0.87187296
attn_0_6_outputs,1,0.16346939,0.87720186,-0.3166722,-0.074468285,-0.16590723,0.08563688,-0.06171772
attn_0_6_outputs,2,-0.12605932,-0.47600073,0.61713237,-0.27557185,0.008395449,0.11455309,0.028922634
attn_0_6_outputs,3,0.12781066,-0.24463068,-0.506065,1.0192463,0.028560314,-0.12921214,-0.31776232
attn_0_6_outputs,4,-0.1544911,-0.35891664,-0.30955893,-0.50881004,1.2391201,-0.22369422,1.0916631
attn_0_6_outputs,5,0.2651951,-0.033918187,0.12383443,0.0766747,0.25062174,0.2987905,-0.5068409
attn_0_6_outputs,<pad>,-0.11316289,0.2281685,-0.24816488,0.22431986,0.32546782,0.19299339,-0.07282731
attn_0_6_outputs,<s>,0.5136484,-0.24673848,0.114207596,0.5882087,0.37571108,-0.27018407,-1.4092993
attn_0_7_outputs,0,-0.21769984,-0.4021852,-0.17420411,-0.14101472,0.057120875,0.13991858,1.1936562
attn_0_7_outputs,1,-0.17988552,-0.28425536,0.13162382,0.078497,0.013166026,0.14130844,0.2692967
attn_0_7_outputs,2,0.3769753,-0.5462664,0.6914335,-0.08517626,0.41453335,0.22742425,-3.7509427
attn_0_7_outputs,3,0.15729861,-0.38314262,0.250955,-0.1150692,0.31430784,0.027208101,0.44091773
attn_0_7_outputs,4,-0.11310569,-0.3289284,0.2042096,-0.1822453,0.012566496,0.04179505,0.55024976
attn_0_7_outputs,5,-0.43688643,-0.9283692,-0.051030073,-0.27113718,0.15953687,-0.9790136,3.1476398
attn_0_7_outputs,<pad>,-0.19955964,-0.22411029,0.28959304,-0.020814935,0.05168933,0.11353632,0.310524
attn_0_7_outputs,<s>,0.46666783,0.15992053,0.4236466,0.21538311,0.36188397,0.36630678,-1.1626737
attn_1_0_outputs,0,-0.17736743,0.102493905,-0.08466283,0.80513734,-0.44083804,0.16017824,0.5034926
attn_1_0_outputs,1,0.12921543,0.56286407,0.54240125,0.5463512,-0.11063451,0.5862406,0.25432715
attn_1_0_outputs,2,0.12533784,0.23407397,0.2027707,0.14196675,-0.24803029,0.34632805,-1.3609443
attn_1_0_outputs,3,0.6788184,-0.24920473,0.5156241,0.09803868,0.43203312,0.67708355,-2.302949
attn_1_0_outputs,4,-0.002597102,0.5860873,0.2053994,0.39608508,0.28480726,-0.27215824,-0.3616703
attn_1_0_outputs,5,-0.6181291,-0.0904084,-0.3120625,0.18034989,2.0854545,-0.2762205,0.7637767
attn_1_0_outputs,6,-0.094549924,0.19180757,0.16500191,0.6077347,-0.6239958,0.10799215,0.79879147
attn_1_0_outputs,7,-0.3995339,-0.14595467,-0.19562863,0.15287721,-0.7032985,-0.013007833,1.4945745
attn_1_1_outputs,0,-0.48671633,-0.044478357,-6.017103,-0.6553617,0.48369762,1.0039928,5.075101
attn_1_1_outputs,1,0.23749919,0.2750471,0.55487293,-0.09808457,-0.02167169,0.011132717,-0.88910246
attn_1_1_outputs,2,-0.23428299,-0.33209547,-0.01970117,-0.37353486,-0.32092044,-0.1939694,0.76767164
attn_1_1_outputs,3,0.175311,-0.41182882,-0.47204083,0.044769965,-0.09279022,-0.44787848,-0.7629689
attn_1_1_outputs,4,0.8169531,0.3319492,0.59328175,0.6234949,0.5855801,0.1634979,-2.1208863
attn_1_1_outputs,5,-0.52986765,-0.6107104,0.24539167,-0.31110686,-0.5601253,-0.1449977,1.2587646
attn_1_1_outputs,6,0.7666434,-0.036957793,4.842545,0.7873606,-0.4078913,-1.8218465,-8.184739
attn_1_1_outputs,7,-0.32953575,-0.77273315,0.07047521,-0.039879773,-0.23053595,-0.45826778,0.4306527
attn_1_2_outputs,0,-0.67662996,-0.10964335,0.20747517,-0.018907297,0.23055468,0.11044917,-0.11797114
attn_1_2_outputs,1,0.58630747,-0.76628053,0.24298371,0.0368197,0.46019888,0.26552832,0.56702113
attn_1_2_outputs,2,0.7341928,0.1391498,-1.0599146,0.2345122,0.30779013,0.20819552,0.52492607
attn_1_2_outputs,3,0.71340114,0.24816608,0.53280383,-0.6265102,0.5573341,0.491068,-0.9590515
attn_1_2_outputs,4,0.47029778,-0.12000731,-0.076373845,-0.011963854,-0.66759944,0.1010486,1.2086077
attn_1_2_outputs,5,0.5114654,-0.09505138,0.07594277,-0.016439123,0.1087394,-0.5913727,-0.27962452
attn_1_2_outputs,<pad>,0.08205065,-0.24103694,0.8563668,0.27536964,-0.27495775,0.03686228,0.2137403
attn_1_2_outputs,<s>,0.77387154,-0.5018058,0.06698878,0.5991883,-0.55779403,-0.14553697,0.37605867
attn_1_3_outputs,0,2.0442643,-0.64181376,-0.2785377,-0.4733841,-0.5732441,-0.48551455,-0.71917874
attn_1_3_outputs,1,-0.001261496,1.5394773,-0.14098342,-0.24746951,-0.39089254,-0.40578884,-0.3899263
attn_1_3_outputs,2,-0.04859974,-0.06312355,1.8032779,-0.21604961,-0.30317065,-0.5479505,0.3589279
attn_1_3_outputs,3,-0.06328253,-0.3205959,0.07287529,2.1318355,-0.2378228,-0.38772327,-0.6326971
attn_1_3_outputs,4,-0.19089776,-0.8081695,-0.21818955,-0.57629406,1.5375271,-0.38175094,-0.9832578
attn_1_3_outputs,5,0.12675351,-0.57175964,-0.06464819,-0.05911557,-0.34967002,0.853918,-0.7613255
attn_1_3_outputs,<pad>,0.2540645,0.28436536,-0.15450294,0.6528934,-0.45525527,0.18023819,0.43019167
attn_1_3_outputs,<s>,-0.13137193,0.06060971,-0.035696447,-0.53430855,0.107716754,-0.1422168,1.1510608
attn_1_4_outputs,0,0.090176925,-0.37459588,0.5234819,-0.21535507,-0.098358475,-0.9412644,1.0183885
attn_1_4_outputs,1,0.6596251,0.008157105,0.12151959,0.20392555,0.63684726,0.18056767,-0.55266255
attn_1_4_outputs,2,-0.20632388,-0.13926081,-0.1740962,-0.15326324,-0.14524437,-0.5389169,0.057677906
attn_1_4_outputs,3,0.29618338,0.12693632,-1.182048,0.68256074,0.29307595,-0.41238615,1.2327358
attn_1_4_outputs,4,0.23925234,-0.17624421,-0.2505752,-0.3756658,0.17804284,-0.07492102,-0.03622292
attn_1_4_outputs,5,0.4992808,-0.035064448,0.3898916,0.09883621,0.20976897,-0.13914947,-1.4732602
attn_1_4_outputs,6,0.5557437,0.41366264,0.56143427,0.55030996,0.5165855,0.010355666,-0.5606597
attn_1_4_outputs,7,0.25584525,0.082422554,0.23599827,0.1839536,0.10640328,0.04011458,-0.78224176
attn_1_5_outputs,0,0.22162546,-0.24362852,0.3519135,-0.08784578,1.3020616,-0.36153987,-0.17696573
attn_1_5_outputs,1,0.027935311,-0.44385794,-0.11579293,0.06774355,-0.009426734,-0.29627126,-0.25864905
attn_1_5_outputs,2,-0.03805267,-0.2213949,0.10990697,-0.12219969,-0.10191735,-0.775677,-0.02915773
attn_1_5_outputs,3,0.20597214,-0.14706263,0.16062233,-0.076980196,0.27532342,0.17332293,-0.20860425
attn_1_5_outputs,4,-0.12429577,-0.38369304,0.15485215,-0.07216172,0.08707092,0.54926485,-0.025327165
attn_1_5_outputs,5,-0.0831898,-0.36593238,0.09194543,-0.22963938,0.00647219,1.1546782,-0.07474957
attn_1_5_outputs,6,0.28944418,0.11439912,0.46905503,0.18224277,0.09254436,-0.70443857,0.022335785
attn_1_5_outputs,7,0.35407096,0.12951763,0.32056424,0.25907344,0.89545906,-0.2651536,1.1998347
attn_1_6_outputs,0,0.7677764,0.38662046,0.022996355,-0.05175366,-0.37195593,-3.5050855,2.5683355
attn_1_6_outputs,1,0.35087502,0.5667001,0.033972498,0.6250208,0.20913562,0.30223852,-0.4068237
attn_1_6_outputs,2,0.6435924,0.69789505,0.5726301,0.5643312,0.07258877,-6.281043,4.0705256
attn_1_6_outputs,3,-0.33606896,-0.026268268,-0.60807556,-1.5747794,-0.29211044,-0.08457181,1.1122625
attn_1_6_outputs,4,0.28194386,0.4385186,0.337789,0.5990013,0.15499295,0.019586321,-0.13489234
attn_1_6_outputs,5,0.434025,0.39898044,-0.12193398,0.28691325,-0.114235,1.2579502,-1.4206269
attn_1_6_outputs,6,0.2391495,0.23738468,-0.101101525,0.2008778,0.15295193,1.4738146,-2.7481935
attn_1_6_outputs,7,0.1625493,0.21296248,-0.25841838,0.25999838,0.41914394,1.3777429,-3.263032
attn_1_7_outputs,0,0.20044467,-0.33757693,0.35256556,-0.31841,-0.36344087,0.0044171917,0.6771993
attn_1_7_outputs,1,0.6170638,-0.01824178,-0.23014851,0.03496253,0.22292137,0.2740707,-0.017342009
attn_1_7_outputs,2,0.080634415,-0.35566995,0.30491617,0.19903147,0.44183517,-0.14854267,-0.351982
attn_1_7_outputs,3,0.008346219,-0.80292934,0.12800105,-0.3483116,-0.43738905,-0.028175544,-0.065265104
attn_1_7_outputs,4,-0.8331587,1.0720892,0.97535676,0.6830182,1.0458016,-0.7581163,-0.28709242
attn_1_7_outputs,5,0.63863486,0.10281213,-0.901944,-0.19284904,0.255861,0.51658845,-0.3353036
attn_1_7_outputs,6,0.86489767,-0.19914563,0.84462225,-1.4267945,-0.06497482,0.41236717,1.0448369
attn_1_7_outputs,7,0.89826614,-0.7014888,0.96194845,0.12943792,-0.7287685,0.62656146,-0.15968627
attn_2_0_outputs,0,-0.6074048,1.1083974,0.3272861,-0.36161166,-0.85871935,1.075926,0.95474887
attn_2_0_outputs,1,0.5944449,-1.0117157,0.96872556,0.35205898,1.0098836,0.78926736,-3.4861698
attn_2_0_outputs,2,0.47906604,-0.70740557,0.37621754,0.54562026,0.7063602,1.5155573,-2.1800375
attn_2_0_outputs,3,1.2401067,0.22106025,0.1628412,-0.42903844,-0.33825845,-0.77307785,1.2333108
attn_2_0_outputs,4,0.055810384,-0.17031497,-0.13991755,0.40538606,-0.05055792,0.04080335,-0.07403215
attn_2_0_outputs,5,0.2563591,0.49735034,-0.1818195,0.41958284,0.31896487,0.36563802,-1.7846062
attn_2_0_outputs,6,0.18110096,0.3810369,0.07685082,-0.058829237,0.31532216,0.23341207,-4.7713375
attn_2_0_outputs,7,0.33317307,-0.7951046,-0.59296995,-0.3118582,-0.31413138,-0.55106795,7.829298
attn_2_1_outputs,0,-0.32040957,-0.16713822,-0.17335634,-0.08043483,-0.7667462,-3.4779313,3.378888
attn_2_1_outputs,1,0.06720214,0.32954618,0.1315314,-0.23787497,0.003976274,0.26540732,-0.006252241
attn_2_1_outputs,2,-0.1079243,-0.2812861,-0.2641539,-0.3284113,-0.64046866,-3.6915534,4.340108
attn_2_1_outputs,3,-0.13906951,-0.100269474,-0.10925475,1.1945741,-0.5875045,0.22850189,0.8177381
attn_2_1_outputs,4,0.21151872,0.45673332,0.22202791,-0.3097879,0.14115754,0.13934787,0.05397286
attn_2_1_outputs,5,0.07321209,0.24321617,0.27295792,0.4223201,0.05926489,0.4666084,-1.4474882
attn_2_1_outputs,6,0.6034252,0.053076483,0.15401724,0.3405986,0.18493693,0.20696858,-2.5937786
attn_2_1_outputs,7,0.24695906,-0.018822772,0.1463193,0.35478738,0.21803062,0.1411797,-3.908376
attn_2_2_outputs,0,-0.6223551,-0.5398627,-0.8141448,0.35045215,0.17926116,-0.87385374,2.5222607
attn_2_2_outputs,1,0.06572317,0.22259834,0.3478221,0.65996665,0.15216494,0.49406657,-0.36297765
attn_2_2_outputs,2,-0.22757074,-0.09990079,-0.55514765,0.3930645,0.5449645,-0.46130016,4.559341
attn_2_2_outputs,3,-0.5428468,-0.33956307,-0.44882357,-2.0763526,-0.31564096,0.09307363,1.950086
attn_2_2_outputs,4,-0.14292412,0.08680823,0.044863477,0.4287301,0.21835019,-0.33904144,-0.01663321
attn_2_2_outputs,5,1.1312006,0.37370315,0.22395097,0.7212087,0.22904998,0.64244425,-2.4341373
attn_2_2_outputs,6,0.82560545,0.02779805,1.1653366,0.83090323,0.97846967,0.71017516,-3.605726
attn_2_2_outputs,7,0.42411235,0.94939506,0.79700345,0.83494717,0.09757038,1.0286357,-3.4774907
attn_2_3_outputs,0,-0.52022594,0.12699841,0.11740139,0.21987188,0.056393176,0.05665811,-0.3510298
attn_2_3_outputs,1,0.023710474,-0.64353484,0.052159343,0.14920563,0.11367974,-0.021251535,-0.2271972
attn_2_3_outputs,2,0.2003194,0.25664777,-0.43776336,0.17249185,0.21775933,0.16610321,-0.13660304
attn_2_3_outputs,3,0.1471204,0.18366908,0.19476436,-0.49064642,0.31009033,0.19304125,-0.40503362
attn_2_3_outputs,4,0.04608854,0.02013633,-0.106169,0.022595003,-0.65179616,0.041212577,-0.27061433
attn_2_3_outputs,5,0.3535563,0.24679506,0.10610641,0.3871354,0.17365482,-0.24914636,0.40639165
attn_2_3_outputs,<pad>,-0.18587619,0.03471917,0.17938337,0.7817373,0.14810868,0.57313484,0.103157505
attn_2_3_outputs,<s>,0.803766,0.55150145,-0.33899567,0.16965367,0.40048915,0.2312365,-0.5557055
attn_2_4_outputs,0,-0.039046198,-0.26248136,0.14469284,0.08157792,0.16081652,0.24290621,-0.1223777
attn_2_4_outputs,1,0.22531076,-0.03376021,0.30301842,0.21228908,0.11905039,0.2466051,-0.1236117
attn_2_4_outputs,2,0.2111442,0.015287114,-0.06397168,0.20769916,0.16179429,0.066261075,0.076343335
attn_2_4_outputs,3,-0.12547754,-0.25150052,0.055388507,-0.030050194,0.00757071,-0.018313825,-1.1728631
attn_2_4_outputs,4,0.04009249,-0.21306412,-0.044515576,0.12113103,-0.12784682,0.10503549,-0.27727866
attn_2_4_outputs,5,0.131765,-0.09834954,0.0945664,0.16756538,0.15545504,-0.096721165,0.13277182
attn_2_4_outputs,<pad>,0.9270542,0.8571421,1.1792924,1.0736082,-0.2119019,-1.3607135,0.21510273
attn_2_4_outputs,<s>,0.26848003,0.072440565,0.41564006,0.3570881,0.44305792,0.40174413,-1.3020362
attn_2_5_outputs,0,0.43076783,-0.08815285,0.07572087,-0.23397662,0.025517808,-0.17205581,0.9013133
attn_2_5_outputs,1,-0.10268285,-0.008053334,0.53892946,0.36236233,0.45976728,-0.5759382,0.3790074
attn_2_5_outputs,2,0.26231685,-0.6096109,-0.22992396,1.0506192,0.037022125,-0.30102274,-1.01807
attn_2_5_outputs,3,0.68363756,-0.3993316,-0.04824361,0.035426363,0.3929593,-0.16068675,-0.2990611
attn_2_5_outputs,4,1.2225271,0.21646918,0.69227153,-0.7437474,0.5250371,-0.6418599,-0.05400623
attn_2_5_outputs,5,0.57716763,-0.2488825,-0.31631818,-0.45012727,0.29035988,-0.2422736,-0.97566485
attn_2_5_outputs,6,0.6205115,0.1900126,0.3218793,-0.018143423,0.41206717,0.15230262,-1.6175814
attn_2_5_outputs,7,-0.028163573,-0.37925705,-0.2131833,-1.1589017,-0.13758685,-0.39702898,2.0396807
attn_2_6_outputs,0,-0.53673065,0.8208523,0.5217973,-0.14235766,-0.93715745,-0.023814231,0.84892946
attn_2_6_outputs,1,0.0063733594,-0.15341692,0.08943828,0.010333618,0.29030135,0.016288815,0.2603173
attn_2_6_outputs,2,0.4552045,-0.17128377,0.24239804,0.371051,0.38328058,0.00026497524,-0.061013468
attn_2_6_outputs,3,-0.19678025,0.19140035,-0.9938723,-0.6429528,0.23405547,-0.03405016,0.33631068
attn_2_6_outputs,4,0.4692206,0.0054145986,0.17291626,-0.061543893,0.35662487,0.5084857,-0.6470955
attn_2_6_outputs,5,-0.099464364,0.20150676,-0.09389642,-0.1520145,0.66972744,-0.14329845,-0.5357206
attn_2_6_outputs,6,0.53413934,0.34373167,0.29938084,0.27928552,0.44895178,0.21322091,-1.3341429
attn_2_6_outputs,7,0.051064394,-0.33401024,-0.27771997,-0.46083117,0.084821664,-0.3897627,0.09276834
attn_2_7_outputs,0,-0.94014156,0.64889854,1.2251582,-0.8937593,1.0380573,1.3885759,1.1888231
attn_2_7_outputs,1,0.42977905,0.28716928,0.2950321,0.485923,0.1693588,-0.00637903,-0.9895286
attn_2_7_outputs,2,-0.8634193,0.40146604,0.41269177,-1.9825226,2.7381146,0.6397724,-0.91217047
attn_2_7_outputs,3,-0.052593954,-0.3690057,-0.21550229,-0.22387311,-0.51544756,-0.1308558,-0.4253128
attn_2_7_outputs,4,-0.10435529,-0.2668671,0.27494308,0.050165396,0.8035029,-0.17103705,-0.7232495
attn_2_7_outputs,5,0.65721834,0.12083603,-0.073542744,0.115941346,-0.18067637,0.10935043,-0.19038683
attn_2_7_outputs,<pad>,-0.046388708,-0.22828588,0.12817259,0.0331521,-0.18890676,-0.16083221,0.26795015
attn_2_7_outputs,<s>,0.22133335,-0.17178795,0.07902131,0.33730632,-0.26592556,0.0961426,0.5076276
mlp_0_0_outputs,0,0.15512457,-0.39678016,0.20848319,0.101363614,0.57124513,0.120152116,0.004725881
mlp_0_0_outputs,1,0.3822595,0.28057125,-0.41243756,0.60863775,0.44602033,0.25914693,-0.4041393
mlp_0_0_outputs,2,0.3815305,0.17586446,0.024685167,0.60964495,-0.04669919,0.6449847,1.0189259
mlp_0_0_outputs,3,0.3340671,0.14573534,-0.17407922,-2.1612682,0.14633055,0.4447189,0.9717821
mlp_0_0_outputs,4,0.5156186,-0.1782839,-0.043601543,0.39903244,0.1938957,0.10572529,-0.35378137
mlp_0_0_outputs,5,0.335636,-0.3076428,-0.008116892,0.5615864,0.23166107,0.31965736,0.31769446
mlp_0_0_outputs,6,0.28759265,-0.0017494899,0.21509302,0.6321231,0.13214223,0.18744169,-0.40313858
mlp_0_0_outputs,7,0.5369255,0.2924629,0.11298758,0.7108228,0.4130199,0.43393952,-0.18052256
mlp_0_1_outputs,0,0.12451102,0.08829971,0.8662611,0.49893895,0.17467211,0.11776404,-0.2506871
mlp_0_1_outputs,1,0.056328416,-0.15611582,0.1832045,-0.19676133,0.11025561,0.0911927,-0.044443067
mlp_0_1_outputs,2,0.00920653,-0.36009437,0.42533267,-0.2694159,0.15598273,-0.17877033,0.6911165
mlp_0_1_outputs,3,-0.2016193,0.264191,0.5598701,0.5889235,-0.012982056,0.17014875,-1.6696341
mlp_0_1_outputs,4,0.047759812,-0.16401067,0.9931626,0.10141846,0.30087397,-0.05729781,-0.692496
mlp_0_1_outputs,5,0.31662384,-0.07163837,0.036931347,-0.05322415,0.015002463,-0.7912719,1.5317886
mlp_0_1_outputs,6,0.1894905,-0.07278607,0.51225364,-0.74227816,-0.00046078273,0.50976694,-1.2726601
mlp_0_1_outputs,7,0.28502238,-0.5420447,0.18161112,-0.09162278,0.37974226,0.46786302,-1.0582143
mlp_0_2_outputs,0,0.2978713,0.02233959,-0.5626875,0.24210906,0.54043233,0.17580555,-0.3296102
mlp_0_2_outputs,1,0.50876516,0.14157897,-0.12467563,0.58150417,-0.4466217,0.30971023,-0.48271123
mlp_0_2_outputs,2,0.8597438,-0.30138546,-0.41920814,0.3450137,2.032694,0.12690535,-2.2089283
mlp_0_2_outputs,3,0.9350324,0.48037225,0.19299656,0.5493528,2.188679,0.5338046,-3.2869627
mlp_0_2_outputs,4,0.54074687,0.32797062,-0.13643408,0.6744345,0.32658422,0.06503556,-0.75613403
mlp_0_2_outputs,5,1.5352219,1.7178313,0.29011908,0.9642249,0.07375279,1.2976733,-8.714359
mlp_0_2_outputs,6,0.5548193,0.57815486,0.039230157,0.7675501,1.01572,0.2406574,-4.7671275
mlp_0_2_outputs,7,-0.8935549,-1.6543862,-2.4410942,-0.6517385,-1.9041345,-1.8013104,7.7532716
mlp_0_3_outputs,0,0.6795044,1.6245306,-0.08640868,0.6989443,-0.89851516,-0.8924921,0.27116182
mlp_0_3_outputs,1,0.6396572,0.1098686,1.5270739,0.4640649,-0.44662684,0.344977,-1.321577
mlp_0_3_outputs,2,0.68788016,0.52039707,1.0682468,0.935979,1.2039845,0.6486223,-10.659103
mlp_0_3_outputs,3,-0.10779092,-0.53605556,0.013315278,0.055085115,-0.33823043,-0.19857033,2.5825064
mlp_0_3_outputs,4,0.8422868,0.15589097,0.79352945,0.8331413,0.32508066,0.4539598,2.9659715
mlp_0_3_outputs,5,-0.37831196,-1.2091457,-0.24859835,-0.08469045,-0.6537728,-0.6795112,3.585185
mlp_0_3_outputs,6,0.43372077,0.3183988,0.52503353,0.3494332,0.24740398,0.7139475,-0.19391775
mlp_0_3_outputs,7,-0.1588556,0.26752397,0.9343537,-0.56502193,0.887702,0.80714303,-0.9890013
mlp_1_0_outputs,0,0.27270976,-0.15957399,-0.60390955,-0.12297413,-0.2532877,0.03840606,-0.4054385
mlp_1_0_outputs,1,-0.5633238,0.29973352,-0.018152412,0.15602621,0.05885815,-0.1096024,-0.2717544
mlp_1_0_outputs,2,0.35681686,0.17681576,-0.017670037,0.11455189,0.10908793,-0.2299489,-0.91955096
mlp_1_0_outputs,3,0.32161108,0.24104021,0.6300988,0.27679476,-0.50326437,0.39325616,0.51224685
mlp_1_0_outputs,4,0.32675642,0.14007962,-0.5194772,-1.2215618,-0.03281686,-0.24590641,-1.71339
mlp_1_0_outputs,5,1.1092103,0.6064664,0.44051576,0.7165468,0.34047645,-2.2310936,-0.06642624
mlp_1_0_outputs,6,-2.1782079,0.4027712,-0.10755417,0.65755314,0.5533874,0.5395569,1.0632925
mlp_1_0_outputs,7,0.25125828,-0.28057697,0.10741528,0.132102,0.4437753,-0.4193792,0.21843402
mlp_1_1_outputs,0,0.4502376,0.76104033,0.986891,1.2441657,0.88651896,0.8228192,-12.951843
mlp_1_1_outputs,1,0.48260483,0.17756689,0.14504841,-0.06336991,0.23550218,0.62644964,-2.3813581
mlp_1_1_outputs,2,0.51172966,-0.35352606,-0.2586205,-0.24902298,-0.22617435,0.10850848,-0.3436174
mlp_1_1_outputs,3,0.54846156,0.05897167,0.18630503,0.4195351,-0.21991482,0.6004212,-0.6922092
mlp_1_1_outputs,4,-1.4436133,-1.6530123,-0.953734,-1.4665076,-1.1159724,-2.3260677,9.694919
mlp_1_1_outputs,5,0.38510314,-0.52683115,-0.21129082,-0.45214632,-0.2583933,0.4485857,-0.7845421
mlp_1_1_outputs,6,0.4725073,0.120553054,0.14857906,0.037006844,-0.34116364,0.3528284,-2.0756993
