feature,value,1,2,3,4,5,6,7,8,9
attn_0_1_outputs,0,1.0923187,1.7030503,2.5151098,0.085065775,-3.2159352,-5.2140207,-6.8280954,-6.4888234,-2.7286496
attn_0_1_outputs,1,3.5929568,4.3509116,3.0055933,-0.8461647,-5.8028903,-9.131378,-10.725877,-12.057349,-6.6527147
attn_0_1_outputs,2,0.73286843,1.2914474,1.9434978,0.05369826,-2.5708332,-3.910416,-5.1024036,-4.2805467,-0.8107438
attn_0_1_outputs,3,1.3276762,1.7274679,2.129606,-0.0027884755,-2.7334921,-4.252691,-5.4417586,-4.1329484,-2.593623
attn_0_1_outputs,4,3.72783,4.427201,2.8689573,-1.1748352,-6.0981894,-9.5731535,-12.1525135,-11.635648,-19.473873
attn_0_1_outputs,5,2.8782496,4.391362,2.9615295,-0.89046437,-5.6462903,-9.054123,-11.7511015,-8.781002,-5.2073607
attn_0_1_outputs,<pad>,0.9961942,1.1490678,1.1658524,0.47751698,-1.7395407,-2.8929741,-2.2219906,-1.4354872,-0.71879816
attn_0_1_outputs,<s>,2.2331338,4.318149,2.7827687,-1.1565886,-6.072798,-9.313408,-11.851983,-12.356489,-11.280181
attn_0_1_outputs,_,0.2539033,-0.10072102,0.68082714,0.63626486,-0.2675423,-2.1001027,-2.5667949,-1.5972012,-0.5356513
attn_0_1_outputs,_,0.6317564,0.41741207,0.6676069,0.4630404,-0.6883466,-1.9109105,-2.9519684,-0.5039071,0.04759468
attn_0_1_outputs,_,0.92608947,-0.18452981,0.36659577,0.120839834,-0.7756358,-1.2889328,-2.3063302,-2.0730426,-0.21578526
attn_0_1_outputs,_,1.0688955,-0.13261403,0.69194263,0.5899157,-0.27977797,-1.3358563,-1.8840221,-1.4624999,-0.10083442
attn_0_1_outputs,_,1.2600075,0.19220768,0.42524722,0.45361963,-0.66593385,-1.5404379,-1.1897109,-0.32379717,0.27235284
attn_0_1_outputs,_,1.0331907,0.06378657,0.14678976,-0.40440434,-0.7549454,-1.1763147,-1.7857646,0.545664,0.12199127
attn_0_1_outputs,_,1.3503368,0.10766053,-0.006836935,0.29037726,-1.1034411,-0.4090898,-0.69206774,0.4058008,-0.1436136
attn_0_1_outputs,_,1.3418212,0.27424958,-0.1845571,0.018958198,-0.103366725,-0.3167393,-1.4218078,1.2215418,-0.16982226
attn_0_2_outputs,0,1.0233284,1.6441479,1.8657981,-0.24530444,-2.9108467,-4.5576553,-5.6065073,-5.0917945,-1.3827916
attn_0_2_outputs,1,1.3153609,1.8517349,3.158753,0.13659595,-3.302371,-5.886791,-7.5752206,-6.843868,-3.3620675
attn_0_2_outputs,2,4.15178,5.019468,4.3885064,-0.5055772,-6.1688495,-10.398701,-13.648861,-17.329567,-12.2924
attn_0_2_outputs,3,0.96818876,1.5322149,1.8714634,-0.013305897,-2.5560923,-3.8219957,-4.649492,-3.683148,-1.1141393
attn_0_2_outputs,4,1.2212106,1.737384,1.9324355,-0.27204892,-2.9265516,-4.560313,-6.2184224,-4.87613,-2.068454
attn_0_2_outputs,5,1.2566701,1.7399695,1.9001356,-0.39136395,-2.9994965,-4.7267737,-5.7250276,-5.207684,-1.0083547
attn_0_2_outputs,<pad>,0.747437,1.1832383,1.0924034,-0.52739966,-1.8348324,-2.80596,-2.4876366,-1.1220138,-0.5851398
attn_0_2_outputs,<s>,4.0382943,5.2781587,4.4964194,-0.52051276,-6.3243084,-10.800805,-14.329278,-14.154608,-15.009576
attn_0_2_outputs,_,0.7553183,0.30098435,1.0959337,0.38882157,-0.7740475,-1.9585861,-2.5429544,-1.622048,-0.6252725
attn_0_2_outputs,_,0.71253574,0.3219558,1.0615171,0.4757746,-0.42716882,-1.8240885,-2.050871,-1.4356928,-0.25121313
attn_0_2_outputs,_,1.1368937,0.0023942606,0.70424086,0.3770091,-0.4019693,-1.3937852,-2.2199132,-1.1348485,-0.22447495
attn_0_2_outputs,_,0.88448584,-0.12469531,0.53353363,0.16745493,-0.33921382,-1.2568625,-2.0851145,-1.475703,-0.4906257
attn_0_2_outputs,_,0.8680742,-0.11875907,0.61147106,0.023711735,-0.5399853,-1.8722425,-1.5256172,-0.58517927,-0.80748194
attn_0_2_outputs,_,0.79354006,-0.26062432,0.18480211,0.048599727,-0.47761464,-1.2134932,-2.440316,0.11061536,0.06610523
attn_0_2_outputs,_,0.5817924,0.038729157,0.26130727,0.004682745,-0.3138824,-0.9735742,-0.84511214,2.1824517,-0.9719273
attn_0_2_outputs,_,0.83569485,0.21284541,0.075822785,0.0036272432,-0.49916497,-0.49193767,-0.64645135,2.1739452,-0.5061849
attn_0_3_outputs,0,2.4853535,4.7359324,3.1577806,-0.44924572,-4.7080975,-7.457873,-10.570744,-5.356363,-2.9626966
attn_0_3_outputs,1,2.1040943,4.3413315,2.748987,-0.86888003,-5.1991525,-7.914062,-9.765367,-15.500128,-8.193998
attn_0_3_outputs,2,2.45423,4.427646,2.8046722,-0.8538871,-5.2002015,-8.095472,-10.103317,-6.7345853,-6.105545
attn_0_3_outputs,3,2.2715194,4.7770295,3.1622024,-0.4473938,-4.674747,-7.507207,-9.138128,-9.038781,-8.89794
attn_0_3_outputs,4,2.1807425,4.5267935,3.010947,-0.53137344,-4.8430767,-7.501251,-9.573346,-10.828872,-9.01355
attn_0_3_outputs,5,2.251107,4.388951,2.7913518,-0.8110391,-5.1252766,-7.873959,-9.602535,-15.1682415,-10.936023
attn_0_3_outputs,<pad>,1.0379055,3.393281,2.0219963,-1.2872005,-5.4467382,-5.9966025,-5.1419,-5.07157,-1.0171081
attn_0_3_outputs,<s>,2.7849398,4.4788003,2.5044107,-1.488219,-6.146901,-9.205977,-11.108506,-13.115888,-11.382148
attn_0_3_outputs,_,0.30268183,0.098631814,2.1408377,0.09019596,-2.1115568,-3.2962303,-4.030524,-3.588427,-1.0721159
attn_0_3_outputs,_,1.2374365,0.08938584,1.7680403,-0.029366879,-1.8030126,-3.168379,-3.088626,-3.3555844,-1.0689462
attn_0_3_outputs,_,0.98088497,0.082442686,1.6978087,0.11994485,-1.5741671,-2.7823179,-3.0304623,-3.3659499,-0.43695873
attn_0_3_outputs,_,1.6877807,1.6255733,2.236127,-0.08085495,-3.5074325,-2.4666367,-2.9538054,-3.677726,-0.96605265
attn_0_3_outputs,_,1.491781,1.2356757,1.93594,0.03845311,-2.9342003,-2.6223807,-1.9358336,-1.3399339,-0.4590132
attn_0_3_outputs,_,1.166872,1.4224886,2.621231,-0.022081444,-1.0568835,-2.7020948,-2.312735,-3.3283005,0.942456
attn_0_3_outputs,_,1.3964505,-0.008899686,1.3834875,0.1518996,-0.9065319,-1.5030519,-1.7232608,0.4676474,-0.20345601
attn_0_3_outputs,_,1.4050125,0.02825532,1.2944548,0.31052807,-0.82538474,-0.90128696,-2.7243998,2.4051366,0.6496908
mlp_0_0_outputs,0,-0.113616414,0.16778386,0.73780245,-0.3526325,0.10004555,0.027236432,-0.3665017,-0.2570255,0.34132633
mlp_0_0_outputs,1,0.5627053,0.0237614,0.2813633,0.32833976,0.21846506,0.0030533546,-0.3778221,-0.7474251,-0.5253653
mlp_0_0_outputs,10,0.97808576,-0.37124005,0.35936213,0.07234231,-0.43472546,-0.9645365,0.24831823,-1.1180196,-0.113236174
mlp_0_0_outputs,11,3.3727946,4.6595464,2.5774076,-1.2799364,-5.3692646,-11.705684,-15.417596,-19.928188,-23.195496
mlp_0_0_outputs,12,1.0308353,0.11490486,1.0917977,0.270214,0.21954079,0.095991366,-0.23350187,-0.40521264,-0.13916078
mlp_0_0_outputs,13,0.83442533,0.41593462,0.11596648,-0.2817244,-0.3345798,-0.6370882,-0.49931753,-0.5040275,-0.53378564
mlp_0_0_outputs,14,0.13408059,0.43257186,0.6361459,-0.1868255,0.4140729,-0.69981474,0.21420278,-0.52548957,-0.59470505
mlp_0_0_outputs,15,0.41541108,0.5784914,-0.13615824,0.3443625,-0.29608098,-0.72045016,0.11212908,-0.80639327,-0.22977124
mlp_0_0_outputs,2,0.8224449,0.31842217,0.03760656,-0.36062172,-0.36226362,-0.6015866,-0.43913323,-0.3719568,-0.7564821
mlp_0_0_outputs,3,0.49987185,0.07340259,0.45636693,-0.15450668,-0.0065856413,0.045787755,-1.1018171,-0.4671185,-0.22650672
mlp_0_0_outputs,4,0.46085858,0.49747974,0.042669393,0.5155478,0.38890186,-0.63262767,-0.4582761,-0.13822754,-0.628915
mlp_0_0_outputs,5,0.7709001,0.32502827,0.1290834,-0.086664796,0.38428456,-0.516836,0.006910419,-0.13976058,-0.22290088
mlp_0_0_outputs,6,0.9343013,0.62349284,0.44999644,-0.19549276,0.030868027,-0.441568,-0.40281752,-0.62634116,-0.7081043
mlp_0_0_outputs,7,1.1119047,0.5325421,-0.10280831,-0.13808072,0.24780548,-0.08008117,-1.0143458,-0.6128331,-0.6983224
mlp_0_0_outputs,8,0.059493877,-0.07663784,0.5617715,0.068433665,0.5278608,-0.014552537,-0.7183433,-0.7850315,-0.17984237
mlp_0_0_outputs,9,0.6129902,0.087888226,0.30654454,0.027830053,0.0926714,-0.087469086,-0.62798226,-0.37439978,-0.41045377
mlp_0_1_outputs,0,-0.13181284,0.47306156,0.26671037,0.49734518,-0.0038384253,0.29447776,-0.3851282,0.14561594,-0.08984071
mlp_0_1_outputs,1,-0.14972834,0.32705885,0.21660908,0.2993143,0.4405282,-0.5494858,-0.5452064,0.09171365,-0.33384672
mlp_0_1_outputs,10,1.0241827,0.64820087,0.2114039,-0.13310756,-0.36749646,-0.27681246,-0.1813865,-0.32974476,-0.07381587
mlp_0_1_outputs,11,0.39232177,0.58235115,0.19697459,0.20083185,0.22993074,-0.40573487,-0.53341544,-0.53894365,-0.06818544
mlp_0_1_outputs,12,0.28665075,0.07574847,0.054651275,-0.052698858,0.3781193,-0.120523185,0.106615506,-0.26171842,-0.8450779
mlp_0_1_outputs,13,3.9886954,4.7276325,2.541685,-1.5323175,-5.6303296,-11.355701,-15.967769,-21.086359,-23.589201
mlp_0_1_outputs,14,0.6918768,-0.34851053,0.5911355,-0.365778,0.17217861,-0.26399973,0.42369765,-0.7491227,-0.371078
mlp_0_1_outputs,15,0.6130248,0.5044592,-0.005942849,-0.24361975,-0.3907422,-0.49921495,-0.9477464,-0.25867432,-0.9295941
mlp_0_1_outputs,2,0.86187834,0.4912027,-0.10848854,-0.8519715,-0.39733788,-0.3364083,-0.8522443,-0.7187285,-0.71961516
mlp_0_1_outputs,3,0.77370274,0.6263861,-0.28331393,0.21852912,-0.10616742,0.089476846,-0.19061726,-1.0257056,-0.6031072
mlp_0_1_outputs,4,0.14568748,0.7573908,0.22606553,0.00609878,0.34489515,0.038167078,-0.25440502,-0.53985834,-0.51651675
mlp_0_1_outputs,5,1.2900796,0.111132376,0.5319101,0.24665515,-0.07350919,-0.23689255,-0.47276145,0.29779893,-0.76334536
mlp_0_1_outputs,6,0.7189706,0.58693075,0.29766566,0.6933116,0.17486064,0.1084126,-0.5364905,-0.11843999,-0.51628774
mlp_0_1_outputs,7,0.28406328,0.35542625,0.45517284,-0.20464876,0.3564684,-0.33088115,-0.21186498,-0.4808502,0.0971011
mlp_0_1_outputs,8,1.619862,1.0721428,0.5854197,-0.14619634,-0.71099734,-1.3958262,-1.9820935,-1.2168831,-0.38627535
mlp_0_1_outputs,9,1.288325,0.3815614,0.75893056,0.27764222,0.14288549,-0.34742954,-0.36252508,-0.027647154,0.051142387
num_attn_0_0_outputs,_,-3.5676994,-6.5390534,-1.6708108,1.9450016,5.0340624,7.212869,8.985923,9.818362,10.332375
num_attn_0_1_outputs,_,-3.9584012,-6.0005975,-1.8874404,1.2952659,4.565033,7.1989174,9.039506,10.285695,9.520243
num_attn_0_2_outputs,_,4.741981,3.5418558,1.9576402,-0.15027924,-4.7847676,-8.515884,-12.524319,-12.67483,-9.696634
num_attn_0_3_outputs,_,-5.212147,-7.3771353,-2.4113526,2.7532332,6.510735,9.650504,11.586942,11.076482,10.381246
num_mlp_0_0_outputs,0,6.673507,4.4045672,-4.1237583,-8.399161,-8.0978155,-1.6482714,-0.7392637,-0.6212244,-1.1858805
num_mlp_0_0_outputs,1,1.5289526,3.5624387,0.6770908,-1.0225309,-12.044702,-15.428345,-10.47113,-7.977655,-4.4356523
num_mlp_0_0_outputs,10,3.1678524,1.5926572,-2.1253583,-1.6164769,-1.7206655,-0.6201864,-0.9909986,-0.93750376,-0.07402668
num_mlp_0_0_outputs,11,3.1245172,2.9251225,-1.7342381,-3.5421727,-1.0812725,-1.4862834,-0.4901586,-1.1739781,-0.37882
num_mlp_0_0_outputs,12,0.641054,1.9198785,3.3205972,-0.011777281,-4.9246273,-6.743077,-5.0203295,-2.9880478,-0.9531818
num_mlp_0_0_outputs,13,0.9974236,0.7721259,0.24389796,0.09499743,-0.19438136,-0.41061586,-0.35584277,0.15859091,-0.49858052
num_mlp_0_0_outputs,14,5.55597,9.728675,-7.02016,-7.304549,-5.377707,-4.876987,-6.7601404,-9.180271,-10.122025
num_mlp_0_0_outputs,15,1.8542387,0.49978492,0.36827245,-0.33477807,0.21223594,-0.38807574,-0.16686524,-0.43506834,-1.067966
num_mlp_0_0_outputs,2,1.460392,1.8298274,0.16106991,-2.520828,-2.3271239,-0.886219,-1.1830953,-0.6446447,-0.5820983
num_mlp_0_0_outputs,3,0.9167461,0.6045041,0.18155707,-0.7954574,-0.66026896,-0.3108302,-0.7197625,-0.009429266,-0.1963859
num_mlp_0_0_outputs,4,2.367717,4.169458,1.1065279,-11.61318,-15.0444355,-5.9338856,-4.113255,-3.376813,-5.4139123
num_mlp_0_0_outputs,5,0.4663703,1.0525134,0.89544153,0.11227767,-0.014103764,-0.17201866,-0.38565636,0.10359789,-0.9021985
num_mlp_0_0_outputs,6,-1.8401886,-2.8305337,7.2481413,2.3997922,-0.12289553,-3.573017,-7.598395,-8.446129,-7.1892285
num_mlp_0_0_outputs,7,-0.29787612,0.5875958,0.8018729,0.24182002,0.029880615,-0.2039143,-0.038688373,-0.11652094,-0.47559536
num_mlp_0_0_outputs,8,1.8809,2.1038084,-0.13964346,-2.301656,-2.6936135,-0.99876827,-1.0001576,-0.09445746,0.38548353
num_mlp_0_0_outputs,9,2.1525185,0.1623516,-0.68737835,-0.89840275,-0.30543405,-0.56948996,-0.8891826,-0.62057024,0.13335326
num_mlp_0_1_outputs,0,1.4278189,0.24640164,-0.081271045,-0.7344136,-0.4933911,0.015397809,-0.47936496,0.043187354,-0.9047798
num_mlp_0_1_outputs,1,0.48881263,0.3317009,0.28263703,-0.3436154,0.13649547,0.04477558,-0.38608965,-0.10530006,-1.0505819
num_mlp_0_1_outputs,10,1.40755,0.5218347,-0.097021945,-0.4670561,-1.0420954,-0.4518817,-0.9974028,-0.5555842,-1.0227302
num_mlp_0_1_outputs,11,0.5137145,0.3457377,0.19251405,-0.0679576,-0.6603294,-0.17372362,-0.15694281,-1.1519276,-1.2399133
num_mlp_0_1_outputs,12,1.6001772,0.57271385,0.387147,-0.25321078,-0.5075189,-0.15998459,-0.30345356,-0.62039113,-0.2182023
num_mlp_0_1_outputs,13,0.7154068,4.840098,-1.7434834,-6.9648724,-6.6216707,-2.2295938,-1.2424111,-1.917043,-2.7966025
num_mlp_0_1_outputs,14,2.3712735,0.75083685,-0.3466361,-1.3281034,-1.2388183,-0.578889,-0.5633604,-0.0914973,-0.57405204
num_mlp_0_1_outputs,15,2.7229528,0.09933729,0.25543937,-0.7405139,-0.64991534,-0.9713506,-1.1059333,0.33405837,-0.13046092
num_mlp_0_1_outputs,2,0.182347,0.32868257,0.1495425,0.028901048,-0.40947774,-0.18098249,-0.3977555,-0.9572712,-0.95025617
num_mlp_0_1_outputs,3,3.416504,0.2962147,-0.6153723,-0.5197888,-1.0751587,0.032026935,-0.93137574,-0.4981238,-0.54512393
num_mlp_0_1_outputs,4,2.995568,0.69833666,-1.7931901,-1.9895121,-2.208073,-1.4557264,-1.4699779,-0.39880878,-0.14546558
num_mlp_0_1_outputs,5,1.668299,0.19921336,0.5108219,-0.45455787,-0.7456887,-0.11037778,-0.7316654,-0.05127015,-1.0108595
num_mlp_0_1_outputs,6,3.8199594,-0.46802357,-0.50728464,-0.7440896,-1.2750514,-0.52740145,-0.22199872,-0.2689301,-0.35960147
num_mlp_0_1_outputs,7,-6.682623,4.197809,3.8021472,-0.4479244,-4.527906,-10.379491,-14.307464,-18.876667,-21.646254
num_mlp_0_1_outputs,8,2.7260613,-0.004470375,-0.5835198,-0.866324,-0.59674215,-0.66173905,0.2591951,-0.5563303,-0.43589503
num_mlp_0_1_outputs,9,14.733507,-10.770475,-5.667173,-1.1127584,-2.1177108,-0.83375996,-0.917542,-0.42345336,0.45784187
ones,_,2.425513,4.7415423,2.5943706,-1.0361767,-5.667049,-9.152823,-13.309917,-12.816498,-8.115481
positions,0,0.43813562,-0.050008267,-0.08132183,0.05206641,-0.2181005,-0.1473948,-0.10038221,0.3345427,0.12557068
positions,1,0.7180372,3.6620765,1.5244455,-2.0544043,-5.8246064,-8.915066,-12.047409,-11.953323,-6.82332
positions,10,2.1120565,4.6959133,2.8056471,-0.65139914,-4.3580923,-7.4359236,-10.644815,-9.970749,-5.4139514
positions,11,2.34218,5.1007447,3.1960564,-0.28702798,-3.980044,-7.0283,-10.146577,-9.0160885,-12.187955
positions,12,2.2827988,5.146815,3.237457,-0.21452014,-3.8228338,-6.969657,-9.98474,-9.657904,-7.57682
positions,13,2.6505775,5.619599,3.7257452,0.26028776,-3.3380203,-6.4101653,-9.47694,-8.964568,-5.156711
positions,14,2.4533648,5.9913855,4.1487665,0.72782457,-2.8819292,-5.9184365,-8.962797,-7.77214,-3.5243642
positions,15,2.8646078,6.566031,4.769408,1.4663159,-2.0196536,-5.024405,-8.052398,-7.0408254,-4.8827953
positions,2,1.3265464,3.7928975,1.662359,-1.9143478,-5.64237,-8.761876,-11.772687,-11.669357,-9.426081
positions,3,1.7008562,3.7959483,1.646262,-1.914063,-5.641074,-8.745759,-11.80376,-11.677737,-6.300156
positions,4,1.2148695,3.9173315,1.7679303,-1.8272997,-5.569684,-8.668485,-11.820325,-11.191645,-6.551216
positions,5,1.981957,3.885451,1.8190469,-1.7296872,-5.486104,-8.61027,-11.819102,-11.245186,-8.493795
positions,6,1.8131903,3.8801167,1.8658828,-1.6864884,-5.4213934,-8.528741,-11.665275,-10.908035,-6.792214
positions,7,1.9938834,4.152592,2.1807258,-1.3388647,-5.042702,-8.105546,-11.275419,-11.503891,-7.801958
positions,8,2.1195254,4.387606,2.485307,-1.0097595,-4.733682,-7.832408,-10.917836,-9.962284,-10.143752
positions,9,2.0897205,4.6210923,2.6931024,-0.7771234,-4.4681907,-7.54513,-10.599168,-10.744,-5.3323174
tokens,0,1.7296044,3.9976068,1.7085768,-1.2954651,-4.333393,-6.342933,-7.8576446,-10.566035,-6.9046245
tokens,1,1.2712896,3.7420518,1.3542564,-1.6546121,-4.812856,-6.7949367,-7.9545207,-6.2175994,-4.010547
tokens,2,1.8447133,3.9773662,1.7236298,-1.1961341,-4.180669,-6.133167,-7.3373704,-8.329419,-4.43925
tokens,3,0.6200576,4.199309,1.628023,-1.5342898,-4.656306,-6.774063,-8.741864,-6.7688065,-10.17896
tokens,4,2.355524,4.386081,1.7006013,-1.688825,-5.106871,-7.4241986,-8.793181,-8.237418,-10.749127
tokens,5,1.7187637,4.14845,1.8423642,-1.195588,-4.383147,-6.2720084,-7.4949903,-9.625636,-6.7094445
tokens,<pad>,0.5850435,0.23999025,0.51863027,-0.74098647,-0.316993,-1.3900713,-0.667652,-0.26886362,-0.24907899
tokens,<s>,-0.006877128,0.46607736,1.0240499,0.14095527,0.098041855,-0.3998905,-1.1313187,-0.06755844,-0.3606386
tokens,_,1.0388082,0.21190614,0.07050545,-0.10202693,-0.018075729,-1.0997273,-1.3762786,-0.85199636,-0.65000236
tokens,_,0.92212343,-0.045487966,0.0007387561,0.90621823,0.35145104,-0.7193223,-1.1593279,-0.5542722,-0.67226535
tokens,_,0.9747655,0.3428891,0.19013263,0.9879552,0.04612743,-1.1567768,-0.9606084,-0.8686901,-0.7556824
tokens,_,0.35693184,0.77624893,0.5832529,0.5396048,0.60157186,-0.69002473,-0.74824756,-0.15917201,-0.25264898
tokens,_,0.00838146,0.71616524,0.73091626,0.45330578,-0.49736488,-0.7180506,-1.6178002,-0.8046425,-0.050376367
tokens,_,0.7309565,0.66102046,-0.057932742,-0.068500526,0.23476513,-1.43465,-0.56947106,-0.7465622,-0.26620996
tokens,_,0.79637337,0.21605264,-0.035148572,0.25108993,0.2174026,-0.67659277,-1.1423298,-0.4065034,-0.52298963
tokens,_,0.46231145,0.286846,0.9018448,0.088111475,0.38144138,-0.64521146,-0.90677726,-0.44063342,-0.9786224
